NAME,K1SL
MQY.5R4.B1,1e-05
MQY.6R4.B1,1e-05
MQM.7R4.B1,1e-05
MQML.8R4.B1,1e-05
MQMC.9R4.B1,1e-05
MQM.9R4.B1,1e-05
MQML.10R4.B1,1e-05
MQ.11R4.B1,1e-05
MQTLI.11R4.B1,1e-05
MQT.12R4.B1,1e-05
MQ.12R4.B1,1e-05
MQT.13R4.B1,1e-05
MQ.13R4.B1,1e-05
MQT.14R4.B1,1e-05
MQ.14R4.B1,1e-05
MQT.15R4.B1,1e-05
MQ.15R4.B1,1e-05
MQT.16R4.B1,1e-05
MQ.16R4.B1,1e-05
MQT.17R4.B1,1e-05
MQ.17R4.B1,1e-05
MQT.18R4.B1,1e-05
MQ.18R4.B1,1e-05
MQT.19R4.B1,1e-05
MQ.19R4.B1,1e-05
MQT.20R4.B1,1e-05
MQ.20R4.B1,1e-05
MQT.21R4.B1,1e-05
MQ.21R4.B1,1e-05
MQ.22R4.B1,1e-05
MQS.23R4.B1,1e-05
MQ.23R4.B1,1e-05
MQ.24R4.B1,1e-05
MQ.25R4.B1,1e-05
MQ.26R4.B1,1e-05
MQS.27R4.B1,1e-05
MQ.27R4.B1,1e-05
MQ.28R4.B1,1e-05
MQ.29R4.B1,1e-05
MQ.30R4.B1,1e-05
MQ.31R4.B1,1e-05
MQ.32R4.B1,1e-05
MQ.33R4.B1,1e-05
MQ.34R4.B1,1e-05
MQXA.1R8,1e-05
MQXB.A2R8,1e-05
MQXB.B2R8,1e-05
MQSX.3R8,1e-05
MQXA.3R8,1e-05
MQY.A4R8.B1,1e-05
MQY.B4R8.B1,1e-05
MQY.A5R8.B1,1e-05
MQY.B5R8.B1,1e-05
MQML.6R8.B1,1e-05
MQM.6R8.B1,1e-05
MQM.A7R8.B1,1e-05
MQM.B7R8.B1,1e-05
MQML.8R8.B1,1e-05
MQMC.9R8.B1,1e-05
MQM.9R8.B1,1e-05
MQML.10R8.B1,1e-05
MQ.11R8.B1,1e-05
MQTLI.11R8.B1,1e-05
MQT.12R8.B1,1e-05
MQ.12R8.B1,1e-05
MQT.13R8.B1,1e-05
MQ.13R8.B1,1e-05
MQT.14R8.B1,1e-05
MQ.14R8.B1,1e-05
MQT.15R8.B1,1e-05
MQ.15R8.B1,1e-05
MQT.16R8.B1,1e-05
MQ.16R8.B1,1e-05
MQT.17R8.B1,1e-05
MQ.17R8.B1,1e-05
MQT.18R8.B1,1e-05
MQ.18R8.B1,1e-05
MQT.19R8.B1,1e-05
MQ.19R8.B1,1e-05
MQT.20R8.B1,1e-05
MQ.20R8.B1,1e-05
MQT.21R8.B1,1e-05
MQ.21R8.B1,1e-05
MQ.22R8.B1,1e-05
MQS.23R8.B1,1e-05
MQ.23R8.B1,1e-05
MQ.24R8.B1,1e-05
MQ.25R8.B1,1e-05
MQ.26R8.B1,1e-05
MQS.27R8.B1,1e-05
MQ.27R8.B1,1e-05
MQ.28R8.B1,1e-05
MQ.29R8.B1,1e-05
MQ.30R8.B1,1e-05
MQ.31R8.B1,1e-05
MQ.32R8.B1,1e-05
MQ.33R8.B1,1e-05
MQ.34R8.B1,1e-05
